Sperlinga comune,Sperlinga comune.1
,
Sperlinga – Veduta,Sperlinga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Giuseppe Cuccì (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,37°46′N 14°21′E
Altitudine,750 m s.l.m.
Superficie,"59,14 km²"
Abitanti,643[1] (30-11-2025)
Densità,"10,87 ab./km²"
Comuni confinanti,"Gangi (PA), Nicosia"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086017
Cod. catastale,I891
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 800 GG[3]"
Nome abitanti,sperlinghesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Sperlinga,Sperlinga
Sperlinga – MappaPosizione del comune di Sperlinga nel libero consorzio comunale di Enna,Sperlinga – MappaPosizione del comune di Sperlinga nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
