Regalbuto comune,Regalbuto comune.1
,
Regalbuto – Veduta,Regalbuto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Angelo Longo (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°39′N 14°38′E
Altitudine,520 m s.l.m.
Superficie,"170,29 km²"
Abitanti,6 555[1] (30-11-2025)
Densità,"38,49 ab./km²"
Comuni confinanti,"Agira, Catenanuova, Centuripe, Gagliano Castelferrato, Randazzo (CT), Troina"
Altre informazioni,Altre informazioni
Cod. postale,94017
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086016
Cod. catastale,H221
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 450 GG[3]"
Nome abitanti,regalbutesi
Patrono,san Vito martire
Giorno festivo,11 agosto
Cartografia,Cartografia
Regalbuto,Regalbuto
Regalbuto – MappaPosizione del comune di Regalbuto nel libero consorzio comunale di Enna,Regalbuto – MappaPosizione del comune di Regalbuto nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
