Enna comune,Enna comune.1
,
Enna – VedutaPanorama di Enna dalla rocca di Cerere,Enna – VedutaPanorama di Enna dalla rocca di Cerere
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Maurizio Dipietro (IV) dal 17-6-2015 (2º mandato dal 6-10-2020)
Territorio,Territorio
Coordinate,37°34′N 14°16′E
Altitudine,936 m s.l.m.
Superficie,"358,75 km²"
Abitanti,24 882[1] (30-11-2025)
Densità,"69,36 ab./km²"
Frazioni,"Arcera, Borgo Cascino, Bruchito, Calderai, Cooperativa Giove, Corfidato, Geracello, Geraci, Girgia, Granci, Pergusa, Pizzuto, Ramata, Risicallà, Rossi, Rossi Sibbione, San Giovanni, Sant'Antonino, Scioltabino, Stazione di Enna"
Comuni confinanti,"Agira, Aidone, Assoro, Calascibetta, Caltanissetta (CL), Gangi (PA), Leonforte, Piazza Armerina, Pietraperzia, Santa Caterina Villarmosa (CL), Valguarnera Caropepe, Villarosa"
Altre informazioni,Altre informazioni
Cod. postale,94100
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086009
Cod. catastale,C342
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 248 GG[3]"
Nome abitanti,ennesi (castrojesi)
Patrono,Maria Santissima della Visitazione
Giorno festivo,2 luglio
Cartografia,Cartografia
Enna,Enna
Enna – MappaPosizione del comune di Enna nel suo libero consorzio comunale,Enna – MappaPosizione del comune di Enna nel suo libero consorzio comunale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
