Pietraperzia comune,Pietraperzia comune.1
,
Pietraperzia – VedutaPalazzo comunale,Pietraperzia – VedutaPalazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Salvatore Vincenzo Messina (lista civica) dal 4-10-2020
Territorio,Territorio
Coordinate,37°24′N 14°08′E
Altitudine,476 m s.l.m.
Superficie,"118,11 km²"
Abitanti,6 200[1] (30-11-2025)
Densità,"52,49 ab./km²"
Comuni confinanti,"Barrafranca, Caltanissetta (CL), Enna, Mazzarino (CL), Piazza Armerina, Riesi (CL)"
Altre informazioni,Altre informazioni
Cod. postale,94016
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,086015
Cod. catastale,G624
Targa,EN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 383 GG[3]"
Nome abitanti,pietrini
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Pietraperzia,Pietraperzia
Pietraperzia – MappaPosizione del comune di Pietraperzia nel libero consorzio comunale di Enna,Pietraperzia – MappaPosizione del comune di Pietraperzia nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
