Catenanuova comune,Catenanuova comune.1
,
Catenanuova – Veduta,Catenanuova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Antonio Impellizzieri (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°34′N 14°41′E
Altitudine,170 m s.l.m.
Superficie,"11,22 km²"
Abitanti,4 459[1] (30-11-2025)
Densità,"397,42 ab./km²"
Comuni confinanti,"Agira, Castel di Iudica (CT), Centuripe, Regalbuto"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086006
Cod. catastale,C353
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 918 GG[3]"
Nome abitanti,catenanuovesi
Patrono,san Prospero
Giorno festivo,ultima domenica di settembre
Motto,Lex doctrina et labor munus meum
Cartografia,Cartografia
Catenanuova,Catenanuova
Catenanuova – MappaPosizione del comune di Catenanuova nel libero consorzio comunale di Enna,Catenanuova – MappaPosizione del comune di Catenanuova nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
