Gagliano Castelferrato comune,Gagliano Castelferrato comune.1
,
Gagliano Castelferrato – Veduta,Gagliano Castelferrato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Vincenzo Giuseppe Baldi (lista civica) dal 28-05-2024
Territorio,Territorio
Coordinate,37°43′N 14°32′E
Altitudine,651 m s.l.m.
Superficie,"56,24 km²"
Abitanti,3 120[1] (30-11-2025)
Densità,"55,48 ab./km²"
Comuni confinanti,"Agira, Cerami, Nicosia, Nissoria, Regalbuto, Troina"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086010
Cod. catastale,D849
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 649 GG[3]"
Nome abitanti,gaglianesi
Patrono,san Cataldo
Giorno festivo,31 agosto
Cartografia,Cartografia
Gagliano Castelferrato,Gagliano Castelferrato
Gagliano Castelferrato – MappaPosizione del comune di Gagliano Castelferrato nel libero consorzio comunale di Enna,Gagliano Castelferrato – MappaPosizione del comune di Gagliano Castelferrato nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
