Piazza Armerina comune,Piazza Armerina comune.1
,
Piazza Armerina – Veduta,Piazza Armerina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Antonino Cammarata (DiventeràBellissima) dal 25-6-2018
Territorio,Territorio
Coordinate,37°23′N 14°22′E
Altitudine,697 m s.l.m.
Superficie,"304,54 km²"
Abitanti,20 551[1] (30-11-2025)
Densità,"67,48 ab./km²"
Frazioni,"Aldovino, Azzolina, Bellia, Camemi, Cametrice, Cannata, Colla-Casale, Farruggio, Fegotto, Floristella, Gatta, Grottacalda, Leano, Marino, Polleri, San Giacomo, Santa Croce, Scarante, Serrafina"
Comuni confinanti,"Aidone, Assoro, Barrafranca, Caltagirone (CT), Enna, Mazzarino (CL), Mirabella Imbaccari (CT), Pietraperzia, Raddusa (CT), San Cono (CT), San Michele di Ganzaria (CT), Mineo (CT), Valguarnera Caropepe"
Altre informazioni,Altre informazioni
Cod. postale,94015
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086014
Cod. catastale,G580
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 607 GG[3]"
Nome abitanti,piazzesi
Patrono,Maria Santissima delle Vittorie
Giorno festivo,"15 agosto, 3 maggio"
Cartografia,Cartografia
Piazza Armerina,Piazza Armerina
Piazza Armerina – MappaPosizione del comune di Piazza Armerina nel libero consorzio comunale di Enna,Piazza Armerina – MappaPosizione del comune di Piazza Armerina nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
