Agira comune,Agira comune.1
,
Agira – Veduta,Agira – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Maria Gaetana Greco (PD/lista civica) dal 3-6-2015 (2º mandato dal 7-10-2020)
Territorio,Territorio
Coordinate,37°39′N 14°31′E
Altitudine,650 m s.l.m.
Superficie,"164,08 km²"
Abitanti,7 544[1] (30-11-2025)
Densità,"45,98 ab./km²"
Frazioni,Sant'Anna
Comuni confinanti,"Assoro, Castel di Iudica (CT), Catenanuova, Enna, Gagliano Castelferrato, Nissoria, Ramacca (CT), Regalbuto"
Altre informazioni,Altre informazioni
Cod. postale,94011
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086001
Cod. catastale,A070
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 648 GG[3]"
Nome abitanti,agirini
Patrono,san Filippo d'Agira
Giorno festivo,12 maggio
Cartografia,Cartografia
Agira,Agira
Agira – MappaPosizione del comune di Agira nel libero consorzio comunale di Enna,Agira – MappaPosizione del comune di Agira nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
