Valguarnera Caropepe comune,Valguarnera Caropepe comune.1
,
Valguarnera Caropepe – VedutaVeduta di Valguarnera da monte Rossomanno,Valguarnera Caropepe – VedutaVeduta di Valguarnera da monte Rossomanno
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Francesca Draià (LSP) dal 29-5-2023
Territorio,Territorio
Coordinate,37°30′N 14°23′E
Altitudine,590 m s.l.m.
Superficie,"9,41 km²"
Abitanti,6 750[1] (30-11-2025)
Densità,"717,32 ab./km²"
Frazioni,"Castani, Paparanza, Rampante"
Comuni confinanti,"Assoro, Enna, Piazza Armerina"
Altre informazioni,Altre informazioni
Cod. postale,94019
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086019
Cod. catastale,L583
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 557 GG[3]"
Nome abitanti,"valguarneresi, carrapipani in siciliano"
Patrono,san Cristofero
Giorno festivo,25 agosto
Soprannome,Carrapipi
Cartografia,Cartografia
Valguarnera Caropepe,Valguarnera Caropepe
Valguarnera Caropepe – MappaPosizione del comune di Valguarnera Caropepe nel libero consorzio comunale di Enna,Valguarnera Caropepe – MappaPosizione del comune di Valguarnera Caropepe nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
