Troina comune,Troina comune.1
,
Troina – VedutaPanorama di Troina,Troina – VedutaPanorama di Troina
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Alfio Giachino (centro-sinistra) dal 29-5-2023
Territorio,Territorio
Coordinate,37°47′N 14°36′E
Altitudine,1 121 m s.l.m.
Superficie,"168,28 km²"
Abitanti,8 218[1] (30-11-2025)
Densità,"48,84 ab./km²"
Comuni confinanti,"Regalbuto, Gagliano Castelferrato, Cerami, Bronte (CT), Randazzo (CT), San Teodoro (ME), Cesarò (ME)"
Altre informazioni,Altre informazioni
Cod. postale,94018
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086018
Cod. catastale,L448
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 364 GG[3]"
Nome abitanti,troinesi
Patrono,san Silvestro monaco da Troina
Giorno festivo,2 gennaio
Cartografia,Cartografia
Troina,Troina
Troina – MappaPosizione del comune di Troina nel libero consorzio comunale di Enna,Troina – MappaPosizione del comune di Troina nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
