Aidone comune,Aidone comune.1
,
Aidone – Veduta,Aidone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Anna Maria Raccuglia (lista civica Impegno per Aidone) dal 29-5-2023
Territorio,Territorio
Coordinate,37°25′N 14°27′E
Altitudine,800 m s.l.m.
Superficie,"210,78 km²"
Abitanti,4 198[1] (30-9-2022)
Densità,"19,92 ab./km²"
Frazioni,Baccarato
Comuni confinanti,"Enna, Mineo (CT), Piazza Armerina, Raddusa (CT), Ramacca (CT)"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086002
Cod. catastale,A098
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 763 GG[3]"
Nome abitanti,aidonesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Aidone,Aidone
Aidone – MappaPosizione del comune di Aidone nel libero consorzio comunale di Enna,Aidone – MappaPosizione del comune di Aidone nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
