Canicattini Bagni comune,Canicattini Bagni comune.1
,
Canicattini Bagni – Veduta,Canicattini Bagni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Paolo Amenta (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,37°02′N 15°04′E
Altitudine,362 m s.l.m.
Superficie,"15,06 km²"
Abitanti,6 482[1] (30-11-2025)
Densità,"430,41 ab./km²"
Comuni confinanti,"Noto, Siracusa"
Altre informazioni,Altre informazioni
Cod. postale,96010
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089005
Cod. catastale,B603
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 193 GG[3]"
Nome abitanti,canicattinesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Canicattini Bagni,Canicattini Bagni
Canicattini Bagni – MappaPosizione del comune di Canicattini Bagni nel libero consorzio comunale di Siracusa,Canicattini Bagni – MappaPosizione del comune di Canicattini Bagni nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
