Cassaro comune,Cassaro comune.1
,
Cassaro – Veduta,Cassaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Mirella Garro (lista civica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,37°06′N 14°57′E
Altitudine,560 m s.l.m.
Superficie,"19,62 km²"
Abitanti,730[1] (30-11-2025)
Densità,"37,21 ab./km²"
Comuni confinanti,"Buscemi, Ferla, Palazzolo Acreide, Sortino"
Altre informazioni,Altre informazioni
Cod. postale,96010
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089007
Cod. catastale,C006
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 409 GG[3]"
Nome abitanti,cassaresi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Cassaro,Cassaro
Cassaro – MappaPosizione del comune di Cassaro nel libero consorzio comunale di Siracusa,Cassaro – MappaPosizione del comune di Cassaro nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
