Noto comune,Noto comune.1
,
"Noto – VedutaPanorama al crepuscolo, 2017","Noto – VedutaPanorama al crepuscolo, 2017"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Corrado Figura (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,36°53′N 15°05′E
Altitudine,152 m s.l.m.
Superficie,"554,99 km²"
Abitanti,24 653[1] (30-11-2025)
Densità,"44,42 ab./km²"
Frazioni,"Calabernardo, Castelluccio, Lido di Noto, Marzamemi,[2] Reitani, Rigolizia, San Corrado di Fuori, San Lorenzo, San Paolo, Santa Lucia, Testa dell'Acqua, Villa Vela"
Comuni confinanti,"Avola, Canicattini Bagni, Ispica (RG), Modica (RG), Pachino, Palazzolo Acreide, Rosolini, Siracusa"
Altre informazioni,Altre informazioni
Cod. postale,96017
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089013
Cod. catastale,F943
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 952 GG[4]"
Nome abitanti,netini
Patrono,san Corrado Confalonieri
Giorno festivo,19 febbraio
Cartografia,Cartografia
Noto,Noto
Noto – MappaPosizione del comune di Noto nel libero consorzio comunale di Siracusa,Noto – MappaPosizione del comune di Noto nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
