Lentini comune,Lentini comune.1
,
"Lentini – VedutaPanorama di Lentini, con l'Etna sullo sfondo, dall'ingresso dell'area archeologia del Castellaccio","Lentini – VedutaPanorama di Lentini, con l'Etna sullo sfondo, dall'ingresso dell'area archeologia del Castellaccio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Rosario Lo Faro (lista civica di centro-sinistra) dal 25-10-2021
Territorio,Territorio
Coordinate,37°17′N 15°00′E
Altitudine,53 m s.l.m.
Superficie,"216,78 km²"
Abitanti,21 041[1] (30-11-2025)
Densità,"97,06 ab./km²"
Comuni confinanti,"Belpasso (CT), Carlentini, Francofonte, Militello in Val di Catania (CT), Palagonia (CT), Ramacca (CT), Scordia (CT), Catania (CT)"
Altre informazioni,Altre informazioni
Cod. postale,96016
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,089011
Cod. catastale,E532
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 915 GG[3]"
Nome abitanti,lentinesi o leontini
Patrono,"santi Martiri Alfio, Filadelfo e Cirino - Madonna delle Grazie (compatrona della Città)"
Giorno festivo,"10 maggio, 2 settembre (traslazione delle reliquie dei SS.MM. Alfio, Filadelfo e Cirino)"
Soprannome,"""Città delle arance"""
Cartografia,Cartografia
Lentini,Lentini
Lentini – MappaPosizione del comune di Lentini nel libero consorzio comunale di Siracusa,Lentini – MappaPosizione del comune di Lentini nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
