Floridia comune,Floridia comune.1
,
Floridia – Veduta,Floridia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Marco Carianni (indipendente di centro-sinistra) dal 22-10-2020[1]
Territorio,Territorio
Coordinate,37°05′N 15°09′E
Altitudine,111 m s.l.m.
Superficie,"26,48 km²"
Abitanti,20 994[2] (30-11-2025)
Densità,"792,82 ab./km²"
Comuni confinanti,"Palazzolo Acreide, Siracusa, Solarino"
Altre informazioni,Altre informazioni
Cod. postale,96014
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089009
Cod. catastale,D636
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 904 GG[4]"
Nome abitanti,floridiani
Patrono,Maria SS. Immacolata
Giorno festivo,8 dicembre
Cartografia,Cartografia
Floridia,Floridia
Floridia – MappaPosizione del comune di Floridia nel libero consorzio comunale di Siracusa,Floridia – MappaPosizione del comune di Floridia nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
