Ferla comune,Ferla comune.1
,
Ferla – Veduta,Ferla – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Michelangelo Giansiracusa (Azione) dal 1-6-2011 (3º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,37°07′N 14°57′E
Altitudine,556 m s.l.m.
Superficie,"24,9 km²"
Abitanti,2 226[1] (30-11-2025)
Densità,"89,4 ab./km²"
Comuni confinanti,"Buccheri, Buscemi, Carlentini, Cassaro, Sortino"
Altre informazioni,Altre informazioni
Cod. postale,96010
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089008
Cod. catastale,D540
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 416 GG[3]"
Nome abitanti,ferlesi
Patrono,san Sebastiano
Giorno festivo,20 luglio
Cartografia,Cartografia
Ferla,Ferla
Ferla – MappaPosizione del comune di Ferla nel libero consorzio comunale di Siracusa,Ferla – MappaPosizione del comune di Ferla nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
