Carlentini comune,Carlentini comune.1
,
Carlentini – Veduta,Carlentini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Giuseppe Stefio (PD) dal 13-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,37°16′32.8″N 15°00′52.1″E
Altitudine,218 m s.l.m.
Superficie,"158,91 km²"
Abitanti,16 900[1] (30-11-2025)
Densità,"106,35 ab./km²"
Frazioni,"Carlentini Nord, Pedagaggi"
Comuni confinanti,"Augusta, Buccheri, Catania (CT), Ferla, Francofonte, Lentini, Melilli, Sortino"
Altre informazioni,Altre informazioni
Cod. postale,96013
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,089006
Cod. catastale,B787
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 007 GG[3]"
Nome abitanti,carlentinesi
Patrono,santa Lucia
Giorno festivo,Quarta domenica di agosto
Cartografia,Cartografia
Carlentini,Carlentini
Carlentini – MappaPosizione del comune di Carlentini nel libero consorzio comunale di Siracusa,Carlentini – MappaPosizione del comune di Carlentini nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
