Buscemi comune,Buscemi comune.1
,
Buscemi – VedutaPanorama di Buscemi,Buscemi – VedutaPanorama di Buscemi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,Michele Carbè (Buscemi Riparte) dal 30-05-2023
Territorio,Territorio
Coordinate,37°05′N 14°52′E
Altitudine,761 m s.l.m.
Superficie,"52,05 km²"
Abitanti,936[1] (30-11-2025)
Densità,"17,98 ab./km²"
Comuni confinanti,"Buccheri, Cassaro, Ferla, Giarratana (RG), Modica (RG), Palazzolo Acreide"
Altre informazioni,Altre informazioni
Cod. postale,96010
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089004
Cod. catastale,B287
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 652 GG[3]"
Nome abitanti,(IT) buscemesi (SCN) buximisi o buscimisi[4][5]
Patrono,Maria Santissima del Bosco
Giorno festivo,Ultima Domenica di Agosto
Cartografia,Cartografia
Buscemi,Buscemi
Buscemi – MappaPosizione del comune di Buscemi nel libero consorzio comunale di Siracusa,Buscemi – MappaPosizione del comune di Buscemi nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
