Boschi Sant'Anna comune,Boschi Sant'Anna comune.1
,
Boschi Sant'Anna – Veduta,Boschi Sant'Anna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Enrico Occhiali (Continuità democratica) dal 26-5-2019, 2º mandato dal 10-6-2024"
Territorio,Territorio
Coordinate,45°13′N 11°22′E
Altitudine,12 m s.l.m.
Superficie,"8,97 km²"
Abitanti,1 380[1] (30-11-2025)
Densità,"153,85 ab./km²"
Frazioni,"Boschi San Marco, Oni[2]"
Comuni confinanti,"Bevilacqua, Legnago, Minerbe, Terrazzo"
Altre informazioni,Altre informazioni
Cod. postale,37040
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023010
Cod. catastale,B070
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 481 GG[4]"
Nome abitanti,santanesi
Patrono,santi Anna e Gioacchino
Giorno festivo,26 luglio
Cartografia,Cartografia
Boschi Sant'Anna,Boschi Sant'Anna
Boschi Sant'Anna – MappaPosizione del comune di Boschi Sant'Anna all'interno della provincia di Verona,Boschi Sant'Anna – MappaPosizione del comune di Boschi Sant'Anna all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
