Legnago comune,Legnago comune.1
,
Legnago – VedutaTeatro Salieri,Legnago – VedutaTeatro Salieri
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Paolo Longhi (Fratelli d’Italia, Lega - Liga Veneta, Forza Italia e Liste civiche) dal 24-6-2024"
Territorio,Territorio
Coordinate,45°11′34.33″N 11°18′41.33″E
Altitudine,16 m s.l.m.
Superficie,"79,27 km²"
Abitanti,26 131[1] (30-11-2025)
Densità,"329,65 ab./km²"
Frazioni,"Porto, San Vito, Canove, Terranegra, San Pietro, Casette, Vangadizza, Vigo, Torretta[2]"
Comuni confinanti,"Angiari, Bergantino (RO), Bonavigo, Boschi Sant'Anna, Castelnovo Bariano (RO), Cerea, Minerbe, Terrazzo, Villa Bartolomea"
Altre informazioni,Altre informazioni
Cod. postale,37045
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023044
Cod. catastale,E512
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 324 GG[4]"
Nome abitanti,legnaghesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Legnago,Legnago
Legnago – MappaPosizione del comune di Legnago all'interno della provincia di Verona,Legnago – MappaPosizione del comune di Legnago all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
