Trevenzuolo comune,Trevenzuolo comune.1
,
Trevenzuolo – Veduta,Trevenzuolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Eros Torsi (lista civica Il trifoglio) dal 22-9-2020
Territorio,Territorio
Coordinate,45°16′N 10°55′E
Altitudine,31 m s.l.m.
Superficie,"26,94 km²"
Abitanti,2 804[1] (30-11-2025)
Densità,"104,08 ab./km²"
Frazioni,"Fagnano, Roncolevà"
Comuni confinanti,"Castelbelforte (MN), Erbé, Isola della Scala, Nogarole Rocca, Roverbella (MN), Vigasio"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023088
Cod. catastale,L396
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 348 GG[3]"
Nome abitanti,trevenzuolesi
Patrono,Santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Trevenzuolo,Trevenzuolo
Trevenzuolo – MappaPosizione del comune di Trevenzuolo all'interno della provincia di Verona,Trevenzuolo – MappaPosizione del comune di Trevenzuolo all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
