Garda comune,Garda comune.1
,
Garda – VedutaBaia delle Sirene - Punta San Vigilio,Garda – VedutaBaia delle Sirene - Punta San Vigilio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Davide Bendinelli (Italia Viva, eletto con lista civica ""Progetto Garda"") dal 5-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°34′21″N 10°40′18″E
Altitudine,67 m s.l.m.
Superficie,"14,37 km²"
Abitanti,4 044[1] (30-11-2025)
Densità,"281,42 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Bardolino, Costermano sul Garda, Manerba del Garda (BS), San Felice del Benaco (BS), Torri del Benaco"
Altre informazioni,Altre informazioni
Cod. postale,37016
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023036
Cod. catastale,D915
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 252 GG[3]"
Nome abitanti,gardesani
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Garda,Garda
Garda – MappaPosizione del comune di Garda all'interno della provincia di Verona,Garda – MappaPosizione del comune di Garda all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
