Sommacampagna comune,Sommacampagna comune.1
,
Sommacampagna – VedutaLe colline tra Sona e Sommacampagna,Sommacampagna – VedutaLe colline tra Sona e Sommacampagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Fabrizio Bertolaso (lista civica di centro-destra Sommacampagna Caselle Custoza 2024) dal 10-6-2024
Territorio,Territorio
Coordinate,45°24′N 10°51′E
Altitudine,121 m s.l.m.
Superficie,"40,83 km²"
Abitanti,14 470[1] (30-11-2025)
Densità,"354,4 ab./km²"
Frazioni,"Caselle, Custoza[2]"
Comuni confinanti,"Sona, Valeggio sul Mincio, Verona, Villafranca di Verona"
Altre informazioni,Altre informazioni
Cod. postale,37066
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023082
Cod. catastale,I821
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 612 GG[4]"
Nome abitanti,sommacampagnesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Sommacampagna,Sommacampagna
Sommacampagna – MappaPosizione del comune di Sommacampagna all'interno della provincia di Verona,Sommacampagna – MappaPosizione del comune di Sommacampagna all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
