Tregnago comune,Tregnago comune.1
,
Tregnago – Veduta,Tregnago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Simone Santellani (lista civica Tregnago partecipa) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°31′N 11°10′E
Altitudine,317 m s.l.m.
Superficie,"37,35 km²"
Abitanti,5 077[1] (30-11-2025)
Densità,"135,93 ab./km²"
Frazioni,"Centro, Cogollo, Finetti, Marcemigo, Rancani, Scorgnano[2]"
Comuni confinanti,"Badia Calavena, Cazzano di Tramigna, Illasi, Mezzane di Sotto, San Giovanni Ilarione, San Mauro di Saline, Verona, Vestenanova"
Altre informazioni,Altre informazioni
Cod. postale,37039
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023087
Cod. catastale,L364
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 811 GG[4]"
Nome abitanti,tregnaghesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Tregnago,Tregnago
Tregnago – MappaPosizione del comune di Tregnago all'interno della provincia di Verona,Tregnago – MappaPosizione del comune di Tregnago all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
