Mozzecane comune,Mozzecane comune.1
,
Mozzecane – VedutaVilla Vecelli-Cavriani,Mozzecane – VedutaVilla Vecelli-Cavriani
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Mauro Martelli (lista civica Insieme per Mozzecane) dal 26-5-2019 (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°18′34.38″N 10°49′04.51″E
Altitudine,47 m s.l.m.
Superficie,"24,85 km²"
Abitanti,8 208[1] (30-11-2025)
Densità,"330,3 ab./km²"
Frazioni,"Grezzano, Quistello, San Zeno, Tormine[2]"
Comuni confinanti,"Nogarole Rocca, Povegliano Veronese, Roverbella (MN), Valeggio sul Mincio, Villafranca di Verona"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023051
Cod. catastale,F789
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 492 GG[4]"
Nome abitanti,mozzecanesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Mozzecane,Mozzecane
Mozzecane – MappaPosizione del comune di Mozzecane all'interno della provincia di Verona,Mozzecane – MappaPosizione del comune di Mozzecane all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
