San Bonifacio comune,San Bonifacio comune.1
,
San Bonifacio – VedutaPanorama di San Bonifacio dalle colline di Soave,San Bonifacio – VedutaPanorama di San Bonifacio dalle colline di Soave
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Gaetano Losa (commissario prefettizio) dal 19-01-2026
Territorio,Territorio
Coordinate,45°24′N 11°17′E
Altitudine,31 m s.l.m.
Superficie,"33,79 km²"
Abitanti,21 391[1] (30-11-2025)
Densità,"633,06 ab./km²"
Frazioni,"Lobia, Locara, Prova, Villabella, Villanova[2]"
Comuni confinanti,"Arcole, Belfiore, Gambellara (VI), Lonigo (VI), Monteforte d'Alpone, Soave"
Altre informazioni,Altre informazioni
Cod. postale,37047
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023069
Cod. catastale,H783
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 348 GG[4]"
Nome abitanti,sambonifacesi
Patrono,San Bonifacio
Giorno festivo,5 giugno
Cartografia,Cartografia
San Bonifacio,San Bonifacio
San Bonifacio – MappaPosizione del comune di San Bonifacio all'interno della provincia di Verona,San Bonifacio – MappaPosizione del comune di San Bonifacio all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
