Arcole comune,Arcole comune.1
,
Arcole – Veduta,Arcole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Alessandro Ceretta ( centro destra-lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°21′30″N 11°17′10″E
Altitudine,27 m s.l.m.
Superficie,"18,87 km²"
Abitanti,6 427[1] (30-11-2025)
Densità,"340,59 ab./km²"
Frazioni,"Gazzolo, Volpino[2]"
Comuni confinanti,"Belfiore, Lonigo (VI), San Bonifacio, Veronella, Zimella, Albaredo d'Adige"
Altre informazioni,Altre informazioni
Cod. postale,37040
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023004
Cod. catastale,A374
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 437 GG[4]"
Nome abitanti,arcolesi o arcolani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Arcole,Arcole
Arcole – MappaPosizione del comune di Arcole all'interno della provincia di Verona,Arcole – MappaPosizione del comune di Arcole all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
