Mezzane di Sotto comune,Mezzane di Sotto comune.1
,
Mezzane di Sotto – Veduta,Mezzane di Sotto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Giovanni Carrarini (lista civica Patto per Mezzane) dal 26-5-2019 (2° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°29′N 11°08′E
Altitudine,122 m s.l.m.
Superficie,"19,71 km²"
Abitanti,2 505[1] (30-11-2025)
Densità,"127,09 ab./km²"
Frazioni,"Castagnè, Mezzane di Sopra[2]"
Comuni confinanti,"Illasi, Lavagno, San Martino Buon Albergo, Tregnago, Verona"
Altre informazioni,Altre informazioni
Cod. postale,37030
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023047
Cod. catastale,F172
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 458 GG[4]"
Nome abitanti,mezzanesi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Mezzane di Sotto,Mezzane di Sotto
Mezzane di Sotto – MappaPosizione del comune di Mezzane di Sotto all'interno della provincia di Verona,Mezzane di Sotto – MappaPosizione del comune di Mezzane di Sotto all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
