Caprino Veronese comune,Caprino Veronese comune.1
,
"Caprino Veronese – VedutaMonumento ai Caduti, in piazza a Caprino Veronese","Caprino Veronese – VedutaMonumento ai Caduti, in piazza a Caprino Veronese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Giuseppe Armani (Lista civica ""La civica!"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°36′N 10°48′E
Altitudine,254 m s.l.m.
Superficie,"47,32 km²"
Abitanti,8 742[1] (30-11-2025)
Densità,"184,74 ab./km²"
Frazioni,"Boi, Gaon, Pazzon, Pesina, Porcino, Spiazzi, Platano, Lubiara, Gamberon, Ceredello, Ori, Boschi, Vilmezzano, Braga, Stringari"
Comuni confinanti,"Brentino Belluno, Costermano, Ferrara di Monte Baldo, Rivoli Veronese, San Zeno di Montagna"
Altre informazioni,Altre informazioni
Cod. postale,"37013, 37010"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023018
Cod. catastale,B709
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 709 GG[3]"
Nome abitanti,caprinesi
Patrono,Assunzione di Maria
Giorno festivo,2 agosto
Cartografia,Cartografia
Caprino Veronese,Caprino Veronese
Caprino Veronese – MappaPosizione del comune di Caprino Veronese all'interno della provincia di Verona,Caprino Veronese – MappaPosizione del comune di Caprino Veronese all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
