Isola della Scala comune,Isola della Scala comune.1
,
Isola della Scala – VedutaLa torre Scaligera,Isola della Scala – VedutaLa torre Scaligera
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Luigi Mirandola (lista civica di centro-destra Isola civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°16′09.12″N 11°00′38.52″E
Altitudine,31 m s.l.m.
Superficie,"69,83 km²"
Abitanti,11 813[1] (30-11-2025)
Densità,"169,17 ab./km²"
Frazioni,"Pellegrina, Tarmassia[2]"
Comuni confinanti,"Bovolone, Buttapietra, Erbè, Nogara, Oppeano, Salizzole, Trevenzuolo, Vigasio"
Altre informazioni,Altre informazioni
Cod. postale,37063
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023040
Cod. catastale,E349
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 348 GG[4]"
Nome abitanti,isolani
Patrono,san Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Isola della Scala,Isola della Scala
Isola della Scala – MappaPosizione del comune di Isola della Scala all'interno della provincia di Verona,Isola della Scala – MappaPosizione del comune di Isola della Scala all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
