Pastrengo comune,Pastrengo comune.1
,
Pastrengo – VedutaChiesa parrocchiale dell'Esaltazione della Santa Croce,Pastrengo – VedutaChiesa parrocchiale dell'Esaltazione della Santa Croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Stefano Zanoni (lista civica Siamo Pastrengo, sostenuta dalla Lega) dal 4-10-2021"
Territorio,Territorio
Coordinate,45°30′N 10°48′E
Altitudine,192 m s.l.m.
Superficie,9 km²
Abitanti,3 089[1] (30-11-2025)
Densità,"343,22 ab./km²"
Frazioni,"Piovezzano, Tacconi[2]"
Comuni confinanti,"Bardolino, Bussolengo, Cavaion Veronese, Lazise, Pescantina, Sant'Ambrogio di Valpolicella"
Altre informazioni,Altre informazioni
Cod. postale,37010
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023057
Cod. catastale,G365
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 609 GG[4]"
Nome abitanti,pastrenghesi
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Pastrengo,Pastrengo
Pastrengo – MappaPosizione del comune di Pastrengo all'interno della provincia di Verona,Pastrengo – MappaPosizione del comune di Pastrengo all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
