Castelnuovo del Garda comune,Castelnuovo del Garda comune.1
,
Castelnuovo del Garda – Veduta,Castelnuovo del Garda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Davide Sandrini (lista civica Sandrini sindaco!) dal 10-6-2024
Territorio,Territorio
Coordinate,45°26′N 10°46′E
Altitudine,130 m s.l.m.
Superficie,"34,43 km²"
Abitanti,13 292[1] (30-11-2025)
Densità,"386,06 ab./km²"
Frazioni,"Cavalcaselle, Oliosi, Ronchi, Sandrà, Camalavicina[2]"
Comuni confinanti,"Bussolengo, Lazise, Peschiera del Garda, Sona, Valeggio sul Mincio"
Altre informazioni,Altre informazioni
Cod. postale,37014
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023022
Cod. catastale,C225
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 626 GG[4]"
Nome abitanti,castelnovesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Castelnuovo del Garda,Castelnuovo del Garda
Castelnuovo del Garda – MappaPosizione del comune di Castelnuovo del Garda all'interno della provincia di Verona,Castelnuovo del Garda – MappaPosizione del comune di Castelnuovo del Garda all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
