Castel d'Azzano comune,Castel d'Azzano comune.1
,
Castel d'Azzano – VedutaVilla Violini Nogarola,Castel d'Azzano – VedutaVilla Violini Nogarola
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Elena Guadagnini (Lega/lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°21′N 10°57′E
Altitudine,44 m s.l.m.
Superficie,"9,72 km²"
Abitanti,12 305[1] (30-11-2025)
Densità,"1 265,95 ab./km²"
Frazioni,"Azzano, Beccacivetta, San Martino[2]"
Comuni confinanti,"Buttapietra, Verona, Vigasio, Villafranca di Verona"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023021
Cod. catastale,C078
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 487 GG[4]"
Nome abitanti,castel d'azzanesi
Patrono,san Luigi[non chiaro]
Giorno festivo,14 luglio
Cartografia,Cartografia
Castel d'Azzano,Castel d'Azzano
Castel d'Azzano – MappaPosizione del comune di Castel d'Azzano all'interno della provincia di Verona,Castel d'Azzano – MappaPosizione del comune di Castel d'Azzano all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
