Lazise comune,Lazise comune.1
,
Lazise – VedutaVeduta del porto antico di Lazise,Lazise – VedutaVeduta del porto antico di Lazise
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Damiano Bergamini (lista civica Lazise per tutti - I Volontari) dal 15-5-2023
Territorio,Territorio
Coordinate,45°30′19″N 10°43′57″E
Altitudine,76 m s.l.m.
Superficie,"63,15 km²"
Abitanti,6 779[1] (30-11-2025)
Densità,"107,35 ab./km²"
Frazioni,"Colà, Pacengo"
Comuni confinanti,"Bardolino, Bussolengo, Castelnuovo del Garda, Padenghe sul Garda (BS), Pastrengo, Sirmione (BS)"
Altre informazioni,Altre informazioni
Cod. postale,37017
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023043
Cod. catastale,E502
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 287 GG[3]"
Nome abitanti,lacisiensi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Lazise,Lazise
Lazise – MappaPosizione del comune di Lazise all'interno della provincia di Verona,Lazise – MappaPosizione del comune di Lazise all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
