Fumane comune,Fumane comune.1
,
Fumane – VedutaIl capoluogo di Fumane,Fumane – VedutaIl capoluogo di Fumane
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Daniele Zivelonghi (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°32′35.4″N 10°52′54.4″E
Altitudine,198 m s.l.m.
Superficie,"34,21 km²"
Abitanti,4 185[1] (30-11-2025)
Densità,"122,33 ab./km²"
Frazioni,"Breonio, Cavalo, Mazzurega, Molina[2]"
Comuni confinanti,"Dolcè, Marano di Valpolicella, San Pietro in Cariano, Sant'Ambrogio di Valpolicella, Sant'Anna d'Alfaedo"
Altre informazioni,Altre informazioni
Cod. postale,"37022, 37020"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023035
Cod. catastale,D818
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 618 GG[4]"
Nome abitanti,fumanesi
Patrono,san Zeno
Giorno festivo,21 maggio
Cartografia,Cartografia
Fumane,Fumane
Fumane – MappaPosizione del comune di Fumane all'interno della provincia di Verona,Fumane – MappaPosizione del comune di Fumane all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
