Sorgà comune,Sorgà comune.1
,
Sorgà – VedutaChiesa della Natività di Maria,Sorgà – VedutaChiesa della Natività di Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Paola Bedoni (lista civica Insieme per Sorgà Paola Bedoni sindaco) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 10°59′E
Altitudine,25 m s.l.m.
Superficie,"31,54 km²"
Abitanti,2 974[1] (30-11-2025)
Densità,"94,29 ab./km²"
Frazioni,"Bonferraro, Pontepossero Località:Pampuro, Torre Masino[2]"
Comuni confinanti,"Castel d'Ario (MN), Castelbelforte (MN), Erbè, Gazzo Veronese, Nogara, San Giorgio Bigarello (MN), Villimpenta (MN)"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023084
Cod. catastale,I850
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 396 GG[4]"
Nome abitanti,sorgaresi
Patrono,Natività di Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Sorgà,Sorgà
Sorgà – MappaPosizione del comune di Sorgà all'interno della provincia di Verona,Sorgà – MappaPosizione del comune di Sorgà all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
