Vigasio comune,Vigasio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Eddi Tosi (centro-destra) dal 31-5-2015 (2° mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°19′N 10°56′E
Altitudine,37 m s.l.m.
Superficie,"30,76 km²"
Abitanti,10 369[1] (30-11-2025)
Densità,"337,09 ab./km²"
Frazioni,"Forette, Isolalta"
Comuni confinanti,"Buttapietra, Castel d'Azzano, Isola della Scala, Nogarole Rocca, Povegliano Veronese, Trevenzuolo, Villafranca di Verona"
Altre informazioni,Altre informazioni
Cod. postale,37068
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023094
Cod. catastale,L869
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 476 GG[3]"
Nome abitanti,vigasiani
Giorno festivo,29 settembre
Cartografia,Cartografia
Vigasio,Vigasio
Vigasio – MappaPosizione del comune di Vigasio all'interno della provincia di Verona,Vigasio – MappaPosizione del comune di Vigasio all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
