Verona comune,Verona comune.1
,
Verona – VedutaPanorama di Verona dal piazzale di castel San Pietro,Verona – VedutaPanorama di Verona dal piazzale di castel San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Damiano Tommasi (indipendente di centro-sinistra) dal 27-6-2022
Territorio,Territorio
Coordinate,45°26′19″N 10°59′34″E
Altitudine,59 m s.l.m.
Superficie,"198,92 km²"
Abitanti,255 297[1] (30-11-2025)
Densità,"1 283,42 ab./km²"
Frazioni,Vedi lista
Comuni confinanti,"Bussolengo, Buttapietra, Castel d'Azzano, Grezzana, Mezzane di Sotto, Negrar di Valpolicella, Pescantina, Roveré Veronese, San Giovanni Lupatoto, San Martino Buon Albergo, San Mauro di Saline, San Pietro in Cariano, Sommacampagna, Sona, Tregnago, Villafranca di Verona"
Altre informazioni,Altre informazioni
Cod. postale,37100 e 37121–37142
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023091
Cod. catastale,L781
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 468 GG[3]"
Nome abitanti,veronesi o scaligeri[4]
Patrono,san Zeno
Giorno festivo,21 maggio
Cartografia,Cartografia
Verona,Verona
Verona – MappaPosizione del comune di Verona all'interno dell'omonima provincia,Verona – MappaPosizione del comune di Verona all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
