Sanguinetto comune,Sanguinetto comune.1
,
Sanguinetto – VedutaCastello di Sanguinetto,Sanguinetto – VedutaCastello di Sanguinetto
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Daniele Fraccaroli (liste civiche) dal 27-5-2019
Territorio,Territorio
Coordinate,45°10′58.6″N 11°09′05.5″E
Altitudine,19 m s.l.m.
Superficie,"13,51 km²"
Abitanti,4 325[1] (30-11-2025)
Densità,"320,13 ab./km²"
Frazioni,Venera
Comuni confinanti,"Casaleone, Cerea, Concamarise, Gazzo Veronese, Nogara, Salizzole"
Altre informazioni,Altre informazioni
Cod. postale,37058
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023072
Cod. catastale,H944
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 328 GG[3]"
Nome abitanti,sanguinettani o sanguinettensi
Patrono,san Giorgio martire
Giorno festivo,24 aprile
Cartografia,Cartografia
Sanguinetto,Sanguinetto
Sanguinetto – MappaPosizione del comune di Sanguinetto all'interno della provincia di Verona,Sanguinetto – MappaPosizione del comune di Sanguinetto all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
