Brenzone sul Garda comune,Brenzone sul Garda comune.1
,
"Brenzone sul Garda – VedutaVista di Castelletto, frazione di Brenzone sul Garda, con la chiesa parrocchiale di San Carlo Borromeo","Brenzone sul Garda – VedutaVista di Castelletto, frazione di Brenzone sul Garda, con la chiesa parrocchiale di San Carlo Borromeo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Paolo Formaggioni (lista civica ""Brenzone Visione Comune"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°42′N 10°46′E
Altitudine,69 m s.l.m.
Superficie,"51,59 km²"
Acque interne,"18,57 km² (36%)"
Abitanti,2 439[1] (30-11-2025)
Densità,"47,28 ab./km²"
Frazioni,"Assenza, Biaza, Boccino, Borago, Campo, Castelletto, Castello, Fasor, Magugnano (sede comunale), Marniga, Porto, Pozzo, Prada Alta Sommavilla, Venzo, Zignago[2]"
Comuni confinanti,"Ferrara di Monte Baldo, Gargnano (BS), Malcesine, San Zeno di Montagna, Tignale (BS), Torri del Benaco, Tremosine sul Garda (BS)"
Altre informazioni,Altre informazioni
Cod. postale,37010
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023014
Cod. catastale,B154
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 099 GG[4]"
Nome abitanti,brenzonesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Brenzone sul Garda,Brenzone sul Garda
Brenzone sul Garda – MappaPosizione del comune di Brenzone all'interno della provincia di Verona,Brenzone sul Garda – MappaPosizione del comune di Brenzone all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
