Erbezzo comune,Erbezzo comune.1
,
Erbezzo – VedutaChiesa dei Santi Filippo e Giacomo,Erbezzo – VedutaChiesa dei Santi Filippo e Giacomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Alessio Leso (lista civica Erbezzo, il futuro insieme) dal 10-6-2024"
Territorio,Territorio
Coordinate,45°38′22.56″N 11°00′02.05″E
Altitudine,1 118 m s.l.m.
Superficie,"31,97 km²"
Abitanti,842[1] (30-11-2025)
Densità,"26,34 ab./km²"
Comuni confinanti,"Ala (TN), Bosco Chiesanuova, Grezzana, Sant'Anna d'Alfaedo"
Altre informazioni,Altre informazioni
Cod. postale,37020
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023033
Cod. catastale,D420
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 4 109 GG[3]"
Nome abitanti,"erbettani, erbezzini o fefarli"
Patrono,san Filippo e san Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Erbezzo,Erbezzo
Erbezzo – MappaPosizione del comune di Erbezzo all'interno della provincia di Verona,Erbezzo – MappaPosizione del comune di Erbezzo all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
