Erbé comune,Erbé comune.1
,
Erbé – Veduta,Erbé – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Nicola Martini (vicesindaco f.f.) (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°14′27.31″N 10°58′06.6″E
Altitudine,22 m s.l.m.
Superficie,"16,1 km²"
Abitanti,1 923[1] (30-11-2025)
Densità,"119,44 ab./km²"
Frazioni,Madonna di Erbé
Comuni confinanti,"Castelbelforte (MN), Isola della Scala, Nogara, Sorgà, Trevenzuolo"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023032
Cod. catastale,D419
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 391 GG[3]"
Nome abitanti,erbetani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Erbé,Erbé
Erbé – MappaPosizione del comune di Erbé all'interno della provincia di Verona,Erbé – MappaPosizione del comune di Erbé all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
