Affi comune,Affi comune.1
,
Affi – VedutaLa parrocchiale di San Pietro in Vincoli,Affi – VedutaLa parrocchiale di San Pietro in Vincoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Marco Giacomo Sega (lista civica Affi progetto futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,45°33′N 10°46′E
Altitudine,191 m s.l.m.
Superficie,"9,88 km²"
Abitanti,2 514[1] (30-11-2025)
Densità,"254,45 ab./km²"
Frazioni,"Ca Orsa, Incaffi[2]"
Comuni confinanti,"Bardolino, Cavaion Veronese, Costermano, Rivoli Veronese"
Altre informazioni,Altre informazioni
Cod. postale,37010
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023001
Cod. catastale,A061
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 607 GG[4]"
Nome abitanti,Affiensi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Affi,Affi
Affi – MappaPosizione del comune di Affi all'interno della provincia di Verona,Affi – MappaPosizione del comune di Affi all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
