Zimella comune,Zimella comune.1
,
Zimella – VedutaVecchio mulino,Zimella – VedutaVecchio mulino
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Gionata Manega (Lega - Liga Veneta) dal 10-6-2024
Territorio,Territorio
Coordinate,45°20′37.06″N 11°21′08.3″E
Altitudine,29 m s.l.m.
Superficie,"20,1 km²"
Abitanti,4 879[1] (30-11-2025)
Densità,"242,74 ab./km²"
Frazioni,"Bonaldo, Santo Stefano (sede comunale), Volpino, Zimella[2]"
Comuni confinanti,"Arcole, Cologna Veneta, Lonigo (VI), Veronella"
Altre informazioni,Altre informazioni
Cod. postale,37040
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023098
Cod. catastale,M178
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 440 GG[4]"
Nome abitanti,zimellesi
Giorno festivo,8 settembre
Cartografia,Cartografia
Zimella,Zimella
Zimella – MappaPosizione del comune di Zimella all'interno della provincia di Verona,Zimella – MappaPosizione del comune di Zimella all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
