Illasi comune,Illasi comune.1
,
Illasi – Veduta,Illasi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Emanuela Ruffo (lista civica di centro-sinistra Futuro comune) dal 13-6-2022
Territorio,Territorio
Coordinate,45°28′N 11°11′E
Altitudine,157 m s.l.m.
Superficie,25 km²
Abitanti,5 161[1] (30-11-2025)
Densità,"206,44 ab./km²"
Frazioni,Cellore[2]
Comuni confinanti,"Cazzano di Tramigna, Colognola ai Colli, Lavagno, Mezzane di Sotto, Tregnago"
Altre informazioni,Altre informazioni
Cod. postale,37031
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023039
Cod. catastale,E284
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 552 GG[4]"
Nome abitanti,illasiani
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Illasi,Illasi
Illasi – MappaPosizione del comune di Illasi all'interno della provincia di Verona,Illasi – MappaPosizione del comune di Illasi all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
