Bardolino comune,Bardolino comune.1
,
Bardolino – VedutaPanorama di Bardolino,Bardolino – VedutaPanorama di Bardolino
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Daniele Bertasi (lista civica Prima Bardolino Bertasi sindaco) dal 10-6-2024
Territorio,Territorio
Coordinate,45°33′06″N 10°43′17″E
Altitudine,65 m s.l.m.
Superficie,"57,33 km²"
Abitanti,6 836[1] (30-11-2025)
Densità,"119,24 ab./km²"
Frazioni,"Calmasino, Cisano[2]"
Comuni confinanti,"Affi, Cavaion Veronese, Costermano, Garda, Lazise, Manerba del Garda (BS), Moniga del Garda (BS), Padenghe sul Garda (BS), Pastrengo"
Altre informazioni,Altre informazioni
Cod. postale,37011
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023006
Cod. catastale,A650
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 231 GG[4]"
Nome abitanti,bardolini
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Bardolino,Bardolino
Bardolino – MappaPosizione del comune di Bardolino all'interno della provincia di Verona,Bardolino – MappaPosizione del comune di Bardolino all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
