Bevilacqua comune,Bevilacqua comune.1
,
Bevilacqua – VedutaScorcio di Bevilacqua con il Municipio,Bevilacqua – VedutaScorcio di Bevilacqua con il Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Marco Alessandro Grazia (lista civica Progetto Comune per Bevilacqua e Marega) dal 26-5-2025
Territorio,Territorio
Coordinate,45°14′N 11°24′E
Altitudine,14 m s.l.m.
Superficie,"12,2 km²"
Abitanti,1 821[1] (30-11-2025)
Densità,"149,26 ab./km²"
Frazioni,Marega[2]
Comuni confinanti,"Boschi Sant'Anna, Minerbe, Montagnana (PD), Terrazzo, Urbana (PD)"
Altre informazioni,Altre informazioni
Cod. postale,37040
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023008
Cod. catastale,A837
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 487 GG[4]"
Nome abitanti,bevilacquesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Bevilacqua,Bevilacqua
Bevilacqua – MappaPosizione del comune di Bevilacqua all'interno della provincia di Verona,Bevilacqua – MappaPosizione del comune di Bevilacqua all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
