Buttapietra comune,Buttapietra comune.1
,
Buttapietra – Veduta,Buttapietra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Sara Moretto (Lega, eletta con lista civica ""Insieme per Buttapietra"") dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°20′31″N 10°59′55″E
Altitudine,38 m s.l.m.
Superficie,"17,27 km²"
Abitanti,7 013[1] (30-11-2025)
Densità,"406,08 ab./km²"
Frazioni,Bovo-Marchesino[2]
Comuni confinanti,"Castel d'Azzano, Isola della Scala, Oppeano, San Giovanni Lupatoto, Verona, Vigasio"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023016
Cod. catastale,B304
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 359 GG[4]"
Nome abitanti,buttapietrini
Patrono,santa Croce
Giorno festivo,17 settembre
Cartografia,Cartografia
Buttapietra,Buttapietra
Buttapietra – MappaPosizione del comune di Buttapietra all'interno della provincia di Verona,Buttapietra – MappaPosizione del comune di Buttapietra all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
