Selva di Progno comune,Selva di Progno comune.1
,
Selva di Progno – VedutaChiesa parrocchiale di Santa Maria Assunta e piazza antistante,Selva di Progno – VedutaChiesa parrocchiale di Santa Maria Assunta e piazza antistante
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Marco Antonio Cappelletti (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°37′N 11°08′E
Altitudine,570 m s.l.m.
Superficie,"41,34 km²"
Abitanti,922[1] (30-11-2025)
Densità,"22,3 ab./km²"
Frazioni,"Campofontana, Giazza, San Bartolomeo delle Montagne[2]"
Comuni confinanti,"Ala (TN), Badia Calavena, Bosco Chiesanuova, Crespadoro (VI), Recoaro Terme (VI), Roverè Veronese, Velo Veronese, Vestenanova"
Altre informazioni,Altre informazioni
Cod. postale,37030
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023080
Cod. catastale,I594
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 221 GG[4]"
Nome abitanti,selvaprognesi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Selva di Progno,Selva di Progno
Selva di Progno – MappaPosizione del comune di Selva di Progno all'interno della provincia di Verona,Selva di Progno – MappaPosizione del comune di Selva di Progno all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
