Sona comune,Sona comune.1
,
Sona – VedutaIl capoluogo visto dall'alto,Sona – VedutaIl capoluogo visto dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Gianfranco Dalla Valentina (grande coalizione) dal 29-5-2023
Territorio,Territorio
Coordinate,45°26′N 10°50′E
Altitudine,169 m s.l.m.
Superficie,"41,15 km²"
Abitanti,17 770[1] (30-11-2025)
Densità,"431,83 ab./km²"
Frazioni,"Lugagnano, Palazzolo, San Giorgio in Salici"
Comuni confinanti,"Bussolengo, Castelnuovo del Garda, Sommacampagna, Valeggio sul Mincio, Verona"
Altre informazioni,Altre informazioni
Cod. postale,37060
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023083
Cod. catastale,I826
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 571 GG[3]"
Nome abitanti,sonesi
Giorno festivo,6 agosto
Cartografia,Cartografia
Sona,Sona
Sona – MappaPosizione del comune di Sona all'interno della provincia di Verona,Sona – MappaPosizione del comune di Sona all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
