Roverchiara comune,Roverchiara comune.1
,
Roverchiara – Veduta,Roverchiara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Loreta Isolani (lista civica di centro-destra Roverchiara viva) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°16′N 11°15′E
Altitudine,20 m s.l.m.
Superficie,"19,65 km²"
Abitanti,2 601[1] (30-11-2025)
Densità,"132,37 ab./km²"
Frazioni,Roverchiaretta
Comuni confinanti,"Albaredo d'Adige, Angiari, Bonavigo, Isola Rizza, Ronco all'Adige, San Pietro di Morubio"
Altre informazioni,Altre informazioni
Cod. postale,37050
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023065
Cod. catastale,H606
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 330 GG[3]"
Nome abitanti,roverchiaresi
Patrono,san Zeno
Giorno festivo,21 maggio
Cartografia,Cartografia
Roverchiara,Roverchiara
Roverchiara – MappaPosizione del comune di Roverchiara all'interno della provincia di Verona,Roverchiara – MappaPosizione del comune di Roverchiara all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
