Valeggio sul Mincio comune,Valeggio sul Mincio comune.1
,
Valeggio sul Mincio – VedutaPanorama dal castello scaligero,Valeggio sul Mincio – VedutaPanorama dal castello scaligero
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Alessandro Gardoni (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°21′N 10°44′E
Altitudine,88 m s.l.m.
Superficie,"63,96 km²"
Abitanti,16 043[1] (30-11-2025)
Densità,"250,83 ab./km²"
Frazioni,"Borghetto, Fontanello, Foroni, Salionze, Santa Lucia ai Monti, Vanoni-Remelli"
Comuni confinanti,"Castelnuovo del Garda, Marmirolo (MN), Monzambano (MN), Mozzecane, Peschiera del Garda, Ponti sul Mincio (MN), Roverbella (MN), Sommacampagna, Sona, Villafranca di Verona, Volta Mantovana (MN)"
Altre informazioni,Altre informazioni
Cod. postale,37067
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023089
Cod. catastale,L567
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 440 GG[3]"
Nome abitanti,valeggiani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Valeggio sul Mincio,Valeggio sul Mincio
Valeggio sul Mincio – MappaPosizione del comune di Valeggio sul Mincio all'interno della provincia di Verona,Valeggio sul Mincio – MappaPosizione del comune di Valeggio sul Mincio all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
