San Giovanni Ilarione comune,San Giovanni Ilarione comune.1
,
San Giovanni Ilarione – Veduta,San Giovanni Ilarione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Luciano Marcazzan (Azione, eletto con lista civica: Paese vivo) dall'11-6-2017 (2º mandato dal 13-6-2022)"
Territorio,Territorio
Coordinate,45°31′N 11°14′E
Altitudine,194 m s.l.m.
Superficie,"25,4 km²"
Abitanti,4 850[1] (30-11-2025)
Densità,"190,94 ab./km²"
Frazioni,"Castello, Cattignano[2]"
Comuni confinanti,"Cazzano di Tramigna, Chiampo (VI), Montecchia di Crosara, Roncà, Tregnago, Vestenanova"
Altre informazioni,Altre informazioni
Cod. postale,37035
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023070
Cod. catastale,H916
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 612 GG[4]"
Nome abitanti,ilarionesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
San Giovanni Ilarione,San Giovanni Ilarione
San Giovanni Ilarione – MappaPosizione del comune di San Giovanni Ilarione all'interno della provincia di Verona,San Giovanni Ilarione – MappaPosizione del comune di San Giovanni Ilarione all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
