Bosco Chiesanuova comune,Bosco Chiesanuova comune.1
,
Bosco Chiesanuova – VedutaPiazza della chiesa a Bosco Chiesanuova,Bosco Chiesanuova – VedutaPiazza della chiesa a Bosco Chiesanuova
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Claudio Melotti (FI) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°37′N 11°02′E
Altitudine,1 106 m s.l.m.
Superficie,"64,81 km²"
Abitanti,3 598[1] (30-11-2025)
Densità,"55,52 ab./km²"
Frazioni,"Corbiolo, Lughezzano-Arzerè, Valdiporro[2]"
Comuni confinanti,"Ala (TN), Cerro Veronese, Erbezzo, Grezzana, Roveré Veronese, Selva di Progno"
Altre informazioni,Altre informazioni
Cod. postale,"37021, 37020"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023011
Cod. catastale,B073
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 4 089 GG[4]"
Nome abitanti,boscochiesanuovesi
Patrono,San Vitale
Giorno festivo,29 gennaio
Cartografia,Cartografia
Bosco Chiesanuova,Bosco Chiesanuova
Bosco Chiesanuova – MappaPosizione del comune di Bosco Chiesanuova all'interno della provincia di Verona,Bosco Chiesanuova – MappaPosizione del comune di Bosco Chiesanuova all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
