Costermano sul Garda comune,Costermano sul Garda comune.1
,
Costermano sul Garda – Veduta,Costermano sul Garda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Stefano Passarini (Italia Viva, eletto con lista civica ""Passarini per il benessere di Costermano sul Garda"") dal (3º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,45°35′08.38″N 10°44′23.89″E
Altitudine,237 m s.l.m.
Superficie,"16,74 km²"
Abitanti,3 997[1] (30-11-2025)
Densità,"238,77 ab./km²"
Frazioni,"Albarè, Castion Veronese, Marciaga, Gazzoli[2]"
Comuni confinanti,"Affi, Bardolino, Caprino Veronese, Garda, Rivoli Veronese, San Zeno di Montagna, Torri del Benaco"
Altre informazioni,Altre informazioni
Cod. postale,37010
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023030
Cod. catastale,D118
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 682 GG[4]"
Nome abitanti,costermanesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Costermano sul Garda,Costermano sul Garda
Costermano sul Garda – MappaPosizione del comune di Costermano sul Garda all'interno della provincia di Verona,Costermano sul Garda – MappaPosizione del comune di Costermano sul Garda all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
