Badia Calavena comune,Badia Calavena comune.1
,
Badia Calavena – Veduta,Badia Calavena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Francesco Valdegamberi (lista civica Badia insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,45°34′N 11°09′E
Altitudine,470 m s.l.m.
Superficie,"26,94 km²"
Abitanti,2 698[1] (30-11-2025)
Densità,"100,15 ab./km²"
Frazioni,"Sant'Andrea, Santissima Trinità, San Valentino, Sprea[2]"
Comuni confinanti,"San Mauro di Saline, Selva di Progno, Tregnago, Velo Veronese, Vestenanova"
Altre informazioni,Altre informazioni
Cod. postale,37030
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023005
Cod. catastale,A540
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 059 GG[4]"
Nome abitanti,badioti
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Badia Calavena,Badia Calavena
Badia Calavena – MappaPosizione del comune di Badia Calavena all'interno della provincia di Verona,Badia Calavena – MappaPosizione del comune di Badia Calavena all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
