Vestenanova comune,Vestenanova comune.1
,
Vestenanova – Veduta,Vestenanova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Stefano Presa (lista civica Uniti per voi!) dal 10-6-2024
Territorio,Territorio
Coordinate,45°34′N 11°14′E
Altitudine,510 m s.l.m.
Superficie,"24,18 km²"
Abitanti,2 499[1] (30-11-2025)
Densità,"103,35 ab./km²"
Frazioni,"Bolca, Castelvero, Vestenavecchia[2]"
Comuni confinanti,"Altissimo (VI), Badia Calavena, Chiampo (VI), Crespadoro (VI), San Giovanni Ilarione, San Pietro Mussolino (VI), Selva di Progno, Tregnago"
Altre informazioni,Altre informazioni
Cod. postale,37030
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023093
Cod. catastale,L810
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 132 GG[4]"
Nome abitanti,vestenesi
Patrono,san Leonardo di Noblac
Giorno festivo,prima domenica ottobre
Cartografia,Cartografia
Vestenanova,Vestenanova
Vestenanova – MappaPosizione del comune di Vestenanova all'interno della provincia di Verona,Vestenanova – MappaPosizione del comune di Vestenanova all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
