San Giovanni Lupatoto comune,San Giovanni Lupatoto comune.1
,
"San Giovanni Lupatoto – VedutaLa centrale via Roma, sulla sinistra la palazzina municipale","San Giovanni Lupatoto – VedutaLa centrale via Roma, sulla sinistra la palazzina municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Attilio Gastaldello (Fratelli d’Italia, Lega - Liga Veneta, Forza Italia e Liste civiche) dal 20-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°23′N 11°02′E
Altitudine,42 m s.l.m.
Superficie,"19,01 km²"
Abitanti,25 430[1] (30-11-2025)
Densità,"1 337,72 ab./km²"
Frazioni,"Camacici, Pozzo, Raldon"
Comuni confinanti,"Buttapietra, Oppeano, San Martino Buon Albergo, Verona, Zevio"
Altre informazioni,Altre informazioni
Cod. postale,"37057, 37050"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023071
Cod. catastale,H924
Targa,VR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 366 GG[3]"
Nome abitanti,lupatotini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni Lupatoto,San Giovanni Lupatoto
San Giovanni Lupatoto – MappaPosizione del comune di San Giovanni Lupatoto all'interno della provincia di Verona,San Giovanni Lupatoto – MappaPosizione del comune di San Giovanni Lupatoto all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
