Pescantina comune,Pescantina comune.1
,
"Pescantina – VedutaVista del centro di Pescantina dall'altra sponda dell'Adige, a Bussolengo.","Pescantina – VedutaVista del centro di Pescantina dall'altra sponda dell'Adige, a Bussolengo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Aldo Vangi (Fratelli d’Italia, Forza Italia e Liste civiche) dal 24-6-2024"
Territorio,Territorio
Coordinate,45°29′N 10°52′E
Altitudine,80 m s.l.m.
Superficie,"19,73 km²"
Abitanti,17 641[1] (30-11-2025)
Densità,"894,12 ab./km²"
Frazioni,"Arcé, Balconi, Ospedaletto, Santa Lucia, Settimo[2]"
Comuni confinanti,"Bussolengo, Pastrengo, San Pietro in Cariano, Sant'Ambrogio di Valpolicella, Verona"
Altre informazioni,Altre informazioni
Cod. postale,37026
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023058
Cod. catastale,G481
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 324 GG[4]"
Nome abitanti,pescantinesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pescantina,Pescantina
Pescantina – MappaPosizione del comune di Pescantina all'interno della provincia di Verona,Pescantina – MappaPosizione del comune di Pescantina all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
