Treppo Ligosullo comune,Treppo Ligosullo comune.1
(IT) Treppo Ligosullo (FUR) Trep di Cjargne Liussûl [1],(IT) Treppo Ligosullo (FUR) Trep di Cjargne Liussûl [1]
,
Treppo Ligosullo – VedutaTreppo Carnico,Treppo Ligosullo – VedutaTreppo Carnico
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Capoluogo,Treppo Carnico
Sindaco,Marco Plazzotta (lista civica) dal 4-4-2023
Data di istituzione,1º febbraio 2018
Territorio,Territorio
Coordinate del capoluogo,46°31′59.64″N 13°02′34.49″E
Altitudine,671 m s.l.m.
Superficie,"35,59 km²"
Abitanti,660[2] (30-11-2025)
Densità,"18,54 ab./km²"
Frazioni,"Gleriis, Ligosullo, Murzalis, Siaio, Tausia, Treppo Carnico, Zenodis"
Comuni confinanti,"Arta Terme, Paluzza, Paularo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33014
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030191
Cod. catastale,M399
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 680 GG[4]"
Nome abitanti,"ligosullani, treppolani e tausiani"
Patrono,Sant'Agnese (Treppo Carnico) San Nicolò (Ligosullo)
Giorno festivo,"21 gennaio (Treppo Carnico), 6 dicembre (Ligosullo)"
Cartografia,Cartografia
Treppo Carnico,Treppo Carnico
Treppo Ligosullo – MappaPosizione del comune di Treppo Ligosullo nella ex provincia di Udine,Treppo Ligosullo – MappaPosizione del comune di Treppo Ligosullo nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
