Arta Terme comune,Arta Terme comune.1
(IT) Arta Terme (FUR) Darte[1],(IT) Arta Terme (FUR) Darte[1]
,
Arta Terme – VedutaPanorama di Piano d'Arta,Arta Terme – VedutaPanorama di Piano d'Arta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Andrea Faccin (centrodestra) dal 13-6-2022
Territorio,Territorio
Coordinate,46°28′20.57″N 13°01′36.03″E
Altitudine,442 m s.l.m.
Superficie,"42,77 km²"
Abitanti,1 964[2] (30-11-2025)
Densità,"45,92 ab./km²"
Frazioni,"Avosacco, Cabia, Cedarchis, Lovea, Piano d'Arta, Piedim, Rivalpo, Valle Località: Chiarsò, D'Inquam, Lavoreit, Plan di Cocés, Rinch, Rosa dei Venti[3]"
Comuni confinanti,"Moggio Udinese, Paluzza, Paularo, Sutrio, Tolmezzo, Treppo Ligosullo, Zuglio"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33022
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030005
Cod. catastale,A447
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona F, 3 249 GG[5]"
Nome abitanti,artesi
Patrono,santi Ermacora e Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Arta Terme,Arta Terme
Arta Terme – MappaPosizione del comune di Arta Terme nella ex provincia di Udine,Arta Terme – MappaPosizione del comune di Arta Terme nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
