Reana del Rojale comune,Reana del Rojale comune.1
(IT) Reana del Rojale (FUR) Reane dal Roiâl[1],(IT) Reana del Rojale (FUR) Reane dal Roiâl[1]
,
Reana del Rojale – VedutaChiesa dei santi Felice e Fortunato,Reana del Rojale – VedutaChiesa dei santi Felice e Fortunato
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Anna Zossi (lista civica) dal 17-2-2023
Territorio,Territorio
Coordinate,46°09′N 13°14′E
Altitudine,166 m s.l.m.
Superficie,"20,33 km²"
Abitanti,4 720[2] (30-11-2025)
Densità,"232,17 ab./km²"
Frazioni,"Cortale, Qualso, Remugnano, Ribis, Rizzolo, Valle, Vergnacco, Zompitta, località Morena[3]"
Comuni confinanti,"Nimis, Povoletto, Tarcento, Tavagnacco, Tricesimo, Udine"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33010
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030090
Cod. catastale,H206
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 398 GG[5]"
Nome abitanti,rojalesi
Patrono,santi Felice e Fortunato
Cartografia,Cartografia
Reana del Rojale,Reana del Rojale
Reana del Rojale – MappaPosizione del comune di Reana del Rojale nella ex provincia di Udine,Reana del Rojale – MappaPosizione del comune di Reana del Rojale nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
