Pozzuolo del Friuli comune,Pozzuolo del Friuli comune.1
(IT) Pozzuolo del Friuli (FUR) Puçui [1],(IT) Pozzuolo del Friuli (FUR) Puçui [1]
,
Pozzuolo del Friuli – Vedutachiesa di San Martino nella frazione di Terenzano,Pozzuolo del Friuli – Vedutachiesa di San Martino nella frazione di Terenzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Gabriele Bressan (Liste civiche di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°58′05″N 13°11′49″E
Altitudine,67 m s.l.m.
Superficie,"34,37 km²"
Abitanti,6 900[2] (30-11-2025)
Densità,"200,76 ab./km²"
Frazioni,"Pozzuolo, Cargnacco, Carpeneto, Sammardenchia, Terenzano, Zugliano[3]"
Comuni confinanti,"Basiliano, Campoformido, Lestizza, Mortegliano, Pavia di Udine, Udine"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030079
Cod. catastale,G966
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 281 GG[5]"
Nome abitanti,pozzuolési
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Pozzuolo del Friuli,Pozzuolo del Friuli
Pozzuolo del Friuli – MappaPosizione del comune di Pozzuolo del Friuli nella ex provincia di Udine,Pozzuolo del Friuli – MappaPosizione del comune di Pozzuolo del Friuli nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
